iter	RMSE
0	1.103490599
1	1.083932428
2	1.067559164
3	1.053964818
4	1.042312571
5	1.032710446
6	1.024965337
7	1.018367091
8	1.013084086
9	1.008599504
10	1.004990768
11	1.001926322
12	0.9994316319
13	0.9971577294
14	0.9953233869
15	0.993745193
16	0.9923684
17	0.9912248436
18	0.9901139438
19	0.989255135
20	0.9884659752
21	0.9878045014
22	0.9872774626
23	0.9867525432
24	0.9863032108
25	0.9858702343
26	0.9854877286
27	0.9851156774
28	0.9848282693
29	0.9845647938
30	0.984326812
31	0.9840754399
32	0.9838338424
33	0.9834437974
34	0.983270963
35	0.9830060852
36	0.9828115198
37	0.9825704251
38	0.9823095033
39	0.9821908256
40	0.9820402203
41	0.981894001
42	0.9817714753
43	0.9815474687
44	0.9813694518
45	0.9811918054
46	0.9810948732
47	0.980929238
48	0.9807469597
49	0.9806052813
50	0.9804526432
51	0.980271653
52	0.9800269762
53	0.9799204643
54	0.9797954729
55	0.979580407
56	0.9794097839
57	0.9793552878
58	0.9792659023
59	0.9791817043
60	0.9791093947
61	0.9789760549
62	0.9788366179
63	0.9786203524
64	0.9784968374
65	0.9784106265
66	0.97833782
67	0.9781598828
68	0.9780818682
69	0.977959124
70	0.9778778739
71	0.9777020913
72	0.9775912844
73	0.9774841717
74	0.9773243328
75	0.9772270528
76	0.9770600779
77	0.9769811373
78	0.9768270526
79	0.976762181
80	0.9766680178
81	0.9764908683
82	0.9763340611
83	0.9762304551
84	0.9761019791
85	0.9760324404
86	0.9759684837
87	0.9759019237
88	0.9758114636
89	0.9756924982
90	0.9755652192
91	0.9754920343
92	0.9753869871
93	0.9753337165
94	0.9752212053
95	0.9751797405
96	0.9749590697
97	0.9748506415
98	0.9747717835
99	0.9746014615
100	0.9744756596
101	0.9743145468
102	0.9741854897
103	0.9739808037
104	0.9738600094
105	0.9737532563
106	0.9735932255
107	0.9734991545
108	0.9734586519
109	0.9733142538
110	0.9732209293
111	0.9731210674
112	0.9729934806
113	0.9728723753
114	0.972809504
115	0.9727258483
116	0.9726273655
117	0.9725507783
118	0.9723942989
119	0.9723394166
120	0.9722574661
121	0.9720374618
122	0.9719666057
123	0.9718923676
124	0.9717491896
125	0.9716503873
126	0.9716074445
127	0.971398551
128	0.9712783703
129	0.9711462947
130	0.9710135077
131	0.9708534949
132	0.9706662943
133	0.9705836691
134	0.9703600252
135	0.9701978805
136	0.9700702132
137	0.9699348039
138	0.9697220875
139	0.9695307594
140	0.96945434
141	0.9693538889
142	0.969292692
143	0.9691805366
144	0.9690837962
145	0.968978769
146	0.9688129044
147	0.9687630671
148	0.9686226794
149	0.9684177652
150	0.9682975659
151	0.9682125883
152	0.9680935448
153	0.9679302977
154	0.9677716401
155	0.9676587148
156	0.9675272881
157	0.9673453654
158	0.967189177
159	0.9671020265
160	0.9669292563
161	0.9667585392
162	0.9665936875
163	0.9665143778
164	0.9663665807
165	0.9662660512
166	0.966136804
167	0.9660300746
168	0.9659449491
169	0.9657681163
170	0.9656697686
171	0.9655605521
172	0.9654583941
173	0.9652732169
174	0.9651500314
175	0.9649896009
176	0.9648838348
177	0.9647703511
178	0.9646200528
179	0.9644774636
180	0.9643908612
181	0.9643136263
182	0.964218174
183	0.9641337315
184	0.9640610342
185	0.9639983577
186	0.9638789325
187	0.9636637598
188	0.9635154632
189	0.9633831429
190	0.9632061588
191	0.9631090717
192	0.9630317798
193	0.9628806915
194	0.9627307503
195	0.9626121755
196	0.9624651551
197	0.9623520526
198	0.9622837327
199	0.9621189765
200	0.9620064048
